length,treatment,tank,family
15.6,structure,T4,G
17,structure,T4,E
17.5,structure,T4,G
11.2,structure,T4,F
16.5,structure,T4,M
18.4,structure,T4,H
16,structure,T4,N
15,structure,T4,I
16.3,structure,T4,N
14.1,structure,T4,K
12.4,structure,T4,H
17.3,structure,T4,I
17.4,structure,T4,F
17.3,structure,T4,H
17.5,structure,T4,C
14.9,structure,T4,P
17.2,structure,T4,C
17.7,structure,T4,I
16.2,structure,T4,O
15.6,structure,T4,H
15.5,structure,T4,K
15,structure,T4,J
16.3,structure,T4,P
8.8,structure,T4,L
14,structure,T4,C
17.7,structure,T4,A
17.8,structure,T4,J
9.5,structure,T4,C
18,structure,T4,K
16.5,structure,T4,E
16.5,structure,T4,L
16.6,structure,T4,L
14.9,structure,T4,J
14.3,structure,T4,F
16.6,structure,T4,M
16.8,structure,T4,D
15,structure,T4,F
16.7,structure,T4,J
12.6,structure,T4,H
15.5,structure,T4,N
12.8,structure,T4,F
16.9,structure,T4,N
15.7,structure,T4,M
15.1,structure,T4,G
15.6,structure,T4,J
18.1,structure,T4,O
17.1,structure,T4,C
17.6,structure,T4,H
16.3,structure,T4,E
16.6,structure,T4,I
15.2,structure,T4,P
17.7,structure,T4,O
16.5,structure,T4,D
16.7,structure,T4,P
14.3,structure,T4,P
17.2,structure,T4,L
11.6,structure,T4,N
11.6,structure,T4,J
15.9,structure,T4,E
16.5,structure,T4,E
16.7,structure,T4,D
17.6,structure,T4,K
14.9,structure,T4,D
17.1,structure,T4,K
16.3,structure,T4,O
17.6,structure,T4,P
17,structure,T4,J
14.8,structure,T4,A
16,structure,T4,H
15.9,structure,T4,N
16.3,structure,T4,M
17.3,structure,T4,A
14.5,structure,T4,F
17,structure,T4,C
17.6,structure,T4,D
18.5,structure,T4,K
15.6,structure,T4,J
15.5,structure,T4,P
17,structure,T4,H
11.2,structure,T4,P
15.8,structure,T4,C
18.1,structure,T4,H
14.8,structure,T4,J
17,structure,T4,J
18.2,structure,T4,K
16.9,structure,T4,C
14.7,structure,T4,D
15.9,structure,T4,P
18.9,structure,T4,H
17.8,structure,T4,J
17.5,structure,T4,K
12.8,structure,T4,I
16.1,structure,T4,K
16.1,structure,T4,N
15.1,structure,T4,J
12.7,structure,T4,J
15.5,structure,T4,O
17.4,structure,T4,I
15.6,structure,T4,P
16.7,structure,T4,H
15.8,structure,T4,C
13,structure,T4,G
15.8,structure,T4,A
15.3,structure,T4,L
16.6,structure,T4,C
16.6,structure,T4,N
16.2,structure,T4,L
18.3,structure,T4,H
15.2,structure,T4,F
17.2,structure,T4,L
12.6,structure,T4,D
15.8,structure,T4,G
15.2,structure,T4,G
14.3,structure,T4,I
15.5,structure,T4,D
16.4,structure,T4,M
15,structure,T4,F
17.6,structure,T4,O
15.4,structure,T4,E
18.1,structure,T4,D
16.6,structure,T4,N
15.2,structure,T4,F
17.9,structure,T4,O
15.5,structure,T4,N
15.8,structure,T4,K
16.8,structure,T4,P
12.9,structure,T4,H
16.7,structure,T4,A
15.9,structure,T4,L
12.7,structure,T4,F
15.3,structure,T4,N
14.5,structure,T4,P
16.8,structure,T4,K
14.9,structure,T4,H
15.3,structure,T4,I
16.4,structure,T4,A
15.2,structure,T4,J
18.1,structure,T4,L
16.3,structure,T4,C
14.3,structure,T4,N
16.9,structure,T4,K
16.6,structure,T4,L
16.4,structure,T4,L
17,structure,T4,P
15.1,structure,T4,C
15.1,structure,T4,N
14.1,structure,T4,P
17.3,structure,T4,L
15.3,structure,T4,P
17.9,structure,T4,O
12.3,structure,T4,G
16.3,structure,T4,M
17.5,structure,T4,D
12.6,structure,T4,F
15.5,structure,T4,A
15.4,structure,T4,P
17,structure,T4,J
17.3,structure,T4,F
18.1,structure,T4,L
13.8,structure,T4,P
13.8,structure,T4,F
14.3,structure,T4,J
15.6,structure,T4,L
16.1,structure,T4,N
16.8,structure,T4,O
12.8,structure,T4,O
17.6,structure,T4,A
13.6,structure,T4,F
10.8,structure,T4,G
16.1,structure,T4,
17.7,structure,T4,K
16.2,structure,T4,I
13.6,structure,T4,P
15.5,structure,T4,G
14.6,structure,T4,P
17.1,structure,T4,C
16.2,structure,T4,C
6.6,structure,T4,N
15.6,structure,T4,D
16.4,structure,T4,N
17.7,structure,T4,I
14.6,structure,T4,C
16.8,structure,T4,I
15.9,structure,T4,I
17,structure,T4,M
18.5,structure,T4,I
13.5,structure,T4,H
17.1,structure,T4,P
16.3,structure,T4,M
17,structure,T4,O
16.6,structure,T4,E
16.7,structure,T4,D
16.3,structure,T4,O
15.2,structure,T4,H
19.5,structure,T4,G
16.9,structure,T4,D
16.1,structure,T4,A
16.3,structure,T4,O
15.8,structure,T4,N
16.5,structure,T4,I
14.5,structure,T4,I
14.6,structure,T4,O
17.8,structure,T4,G
16.4,structure,T4,M
17.6,structure,T4,L
16.6,structure,T4,O
13.7,structure,T4,A
15.3,structure,T4,I
18.1,structure,T4,O
15.5,structure,T4,N
6.5,structure,T4,G
